Baslangic_Metresi (m),Bitis_Metresi (m),Mesafe (m),Eylem,Giris_Hizi (km/h),Cikis_Hizi (km/h),Gecen_Sure (s),Toplam_Sure (s)
0.0,214.0,214.0,GAZLA (Burn),10.0,29.8,31.5,31.5
214.0,224.0,10.0,SUZUL (Coast),29.8,29.7,1.2,32.7
224.0,271.0,47.0,GAZLA (Burn),29.7,31.2,5.5,38.3
271.0,281.0,10.0,SUZUL (Coast),31.2,31.0,1.2,39.4
281.0,302.0,21.0,GAZLA (Burn),31.0,30.9,2.4,41.9
302.0,331.0,29.0,SUZUL (Coast),30.9,30.5,3.4,45.3
331.0,352.0,21.0,GAZLA (Burn),30.5,30.9,2.5,47.7
352.0,890.0,538.0,SUZUL (Coast),30.9,30.7,65.4,113.1
890.0,1008.0,118.0,GAZLA (Burn),30.7,28.7,14.3,127.4
1008.0,1062.0,54.0,SUZUL (Coast),28.7,25.3,7.2,134.6
1062.0,1079.0,17.0,GAZLA (Burn),25.3,24.9,2.4,137.1
1079.0,1108.0,29.0,SUZUL (Coast),24.9,24.2,4.3,141.3
1108.0,1116.0,8.0,GAZLA (Burn),24.2,24.2,1.2,142.5
1116.0,1171.0,55.0,SUZUL (Coast),24.2,22.9,8.3,150.9
1171.0,1177.0,6.0,GAZLA (Burn),22.9,22.5,0.9,151.8
1177.0,1318.0,141.0,SUZUL (Coast),22.5,11.7,30.9,182.7
